,idade,tipo_assinatura,plano_pagamento,num_pausas_assinatura,metodo_pagamento,chamados_suporte,horas_semanais,tempo_medio_sessao,taxa_skip_musica,musicas_tocadas_semana,musicas_unicas_semana,num_artistas_favoritos,num_amigos_plataforma,num_playlists_criadas,num_playlists_compartilhadas,notificacoes_clicadas
28,52,premium,anual,2,credito,muitos,12.56304422,1.798151184,0.59,162,90,6,72,12,3,165
29,65,basico,anual,0,debito,nenhum,9.636083338,0.430884646,0.34,143,120,5,46,18,18,74
30,40,familia premium,anual,0,credito,muito frequente,19.17810913,1.55099103,0.39,270,145,6,72,15,8,2
31,45,premium,anual,1,debito,muitos,5.774789851,0.602168465,0.97,89,48,4,83,8,3,59
32,30,estudante,anual,2,venmo,muito frequente,24.0689476,2.775514537,0.45,327,216,4,69,13,3,109
33,47,basico,mensal,0,venmo,muitos,17.07367437,1.563777266,0.88,235,135,8,63,20,7,66
34,82,basico,anual,2,debito,muito frequente,15.11530592,1.765517505,0.34,252,146,6,34,14,4,95
35,58,basico,anual,1,debito,poucos,1.40430916,0.333010186,0.32,17,10,4,68,8,4,101
36,46,basico,anual,0,credito,muitos,8.353068593,0.954486939,0.58,117,116,7,83,12,3,309
37,49,premium,anual,2,credito,alguns,4.826104441,1.045195172,0.3,64,34,2,69,10,3,57
38,63,premium,anual,1,credito,alguns,4.072178243,0.594485036,0.39,71,59,6,54,13,13,85
39,74,familia premium,anual,1,credito,nenhum,16.27892286,2.063813987,0.48,323,283,8,42,15,15,1
40,27,premium,anual,2,credito,muitos,8.467080872,1.579267745,0.62,119,107,5,93,9,9,182
41,85,basico,anual,0,debito,muito frequente,7.839282051,0.716193033,0.43,143,106,5,29,11,11,32
42,19,estudante,anual,1,credito,muito frequente,20.08179286,0.27785679,0.08,377,214,8,86,11,11,29
43,63,familia premium,anual,2,credito,muitos,12.42921417,2.559429352,0.45,186,101,6,64,9,2,1
44,62,familia premium,anual,0,venmo,poucos,3.312192892,0.68080111,0.1,53,43,4,47,14,14,0
45,68,familia premium,mensal,2,credito,muito frequente,0.965483157,0.509746503,0.67,17,11,3,30,13,4,1
46,24,basico,anual,0,credito,alguns,0.654900919,0.144655026,0.54,13,9,4,86,12,3,371
47,64,basico,anual,2,venmo,muito frequente,4.941744802,0.412476203,0.14,71,48,2,59,19,19,58
48,48,premium,mensal,1,credito,muito frequente,21.22511312,2.849494799,0.2,360,195,5,72,12,6,233
49,45,familia premium,mensal,2,debito,alguns,26.34736608,2.871975854,0.19,440,286,7,72,21,7,2
50,69,familia premium,anual,2,venmo,poucos,16.30502045,0.201702281,0.94,276,168,4,29,9,3,0
51,49,premium,anual,1,credito,nenhum,9.644003714,0.328974493,0.72,177,89,7,58,17,6,79
52,52,basico,anual,2,credito,alguns,11.32994533,1.212042897,0.86,144,88,6,64,19,19,37
53,47,familia premium,anual,0,credito,alguns,24.24467478,1.83609091,0.26,293,162,9,67,10,3,2
54,75,premium,mensal,2,credito,nenhum,11.77108981,0.910382563,0.44,174,172,6,34,8,4,149
55,26,basico,anual,0,credito,nenhum,1.569934687,0.156672524,0.21,23,12,3,95,13,13,251
56,52,familia premium,anual,0,debito,muito frequente,6.831795372,0.720121212,0.06,94,50,7,43,13,7,0
57,40,basico,anual,0,credito,poucos,29.29191095,3.921782885,0.28,355,255,6,66,13,4,61
58,57,premium,anual,0,debito,muitos,22.73847313,0.76117454,0.13,407,205,9,51,9,5,140
59,38,familia premium,mensal,0,credito,poucos,16.81932373,0.962361599,0.82,220,112,8,68,12,3,1
60,70,familia premium,anual,2,venmo,alguns,3.677870581,0.701778808,0.08,50,41,2,35,14,5,2
61,32,premium,anual,2,credito,alguns,29.42525703,3.16885068,0.04,387,208,7,88,21,21,47
62,71,familia premium,mensal,0,venmo,nenhum,0.109098981,0.877710517,0.79,2,1,1,45,14,5,2
63,82,premium,mensal,0,credito,nenhum,11.67432759,2.177471226,0.91,225,126,8,30,8,4,53
64,37,basico,anual,0,credito,nenhum,20.26185319,1.563457804,0.79,247,230,6,74,21,7,126
65,65,basico,anual,0,credito,poucos,29.96703055,0.360308563,0.46,481,434,9,37,6,3,70
66,55,familia premium,anual,0,credito,alguns,19.12151376,3.353906935,0.2,239,160,5,52,12,12,0
67,26,basico,mensal,1,venmo,nenhum,10.08642464,0.94513522,0.5,197,116,4,83,9,3,66
68,25,familia premium,mensal,1,venmo,alguns,30.09732881,2.15676263,0.42,372,283,8,92,19,6,0
69,51,familia premium,mensal,2,credito,alguns,29.60595178,3.198025331,0.0,504,287,4,60,10,3,1
70,31,premium,anual,2,venmo,muitos,27.87163073,4.702849894,0.28,379,257,4,81,5,5,36
71,73,basico,anual,1,credito,nenhum,17.89706933,0.755449108,0.26,298,220,8,46,12,6,72
72,63,familia premium,mensal,2,credito,poucos,14.6360514,2.413109339,0.22,274,150,7,34,8,2,2
73,65,familia premium,mensal,2,credito,muitos,15.26150545,0.879340531,0.89,203,166,6,47,9,9,0
74,84,premium,anual,2,credito,nenhum,19.03495615,2.08293854,0.12,306,197,4,34,8,3,59
75,19,basico,mensal,0,debito,muito frequente,4.405331581,0.465164522,0.15,64,41,4,84,11,11,77
76,50,familia premium,anual,2,credito,poucos,29.65682595,2.265018808,0.31,399,229,4,68,8,3,1
77,27,premium,anual,2,credito,poucos,6.070678007,0.47962579,0.42,104,59,3,86,21,5,57
78,32,premium,mensal,1,debito,nenhum,10.84107377,0.334433914,0.31,212,187,4,69,14,5,97
79,84,familia premium,anual,1,debito,alguns,8.145802194,1.198120191,0.35,103,100,6,36,19,10,2
80,79,familia premium,mensal,0,venmo,nenhum,30.90078999,0.572708196,0.4,413,236,9,41,19,10,0
81,46,familia premium,anual,2,debito,muito frequente,27.98535157,4.019457085,0.47,426,229,7,68,17,6,1
82,28,premium,anual,1,debito,muito frequente,27.60116875,2.606800683,0.3,466,247,8,103,5,5,66
83,63,basico,anual,0,credito,nenhum,22.99004576,3.422935703,0.12,366,291,6,41,20,7,104
84,81,basico,mensal,1,credito,muitos,13.87887538,0.772380345,0.11,250,192,5,32,6,6,149
85,63,familia premium,mensal,1,debito,poucos,14.718636,0.832422125,0.01,218,109,4,38,10,5,2
86,37,basico,mensal,1,debito,nenhum,4.339372578,0.941394447,0.26,62,55,3,79,7,7,101
87,34,premium,mensal,2,debito,nenhum,14.93488202,0.954198051,0.01,199,162,3,71,15,4,69
88,42,premium,anual,2,debito,muitos,30.0272314,3.617511631,0.66,403,280,7,79,21,21,86
89,65,familia premium,mensal,1,debito,nenhum,21.02842,1.573524393,0.89,288,191,5,46,12,6,0
90,66,familia premium,anual,1,credito,nenhum,7.328709769,0.155398111,0.21,137,104,4,44,13,13,0
91,66,basico,anual,2,venmo,muito frequente,10.19077722,1.569337973,0.79,145,83,3,37,11,6,43
92,77,familia premium,anual,2,credito,nenhum,4.636390659,1.166203163,0.69,59,38,2,39,10,5,1
93,29,premium,mensal,0,credito,muito frequente,14.57642291,2.647490937,0.5,274,152,6,75,12,3,88
94,62,premium,mensal,0,debito,muito frequente,29.58242813,2.712923861,0.16,436,251,6,38,19,6,33
95,38,familia premium,mensal,1,credito,muito frequente,1.433626479,0.247230849,0.32,23,17,2,67,10,3,0
96,26,basico,mensal,1,credito,poucos,15.22995884,1.370177401,0.38,206,105,7,77,8,2,140
97,86,premium,anual,2,credito,nenhum,6.8510281,1.321901519,0.3,101,83,5,30,3,2,76
98,35,familia premium,mensal,2,venmo,muitos,25.60149333,3.878237764,0.45,400,366,7,89,12,6,0
99,33,premium,anual,0,credito,muitos,13.33320863,1.383253486,0.19,176,104,8,94,7,4,65
100,85,familia premium,anual,1,debito,nenhum,8.318609636,0.381815933,0.65,146,79,4,45,12,6,0
101,56,premium,mensal,1,credito,muito frequente,24.89217942,1.913300288,0.43,330,325,8,71,11,6,56
102,49,premium,anual,2,venmo,muito frequente,21.9290296,0.30263104,0.31,324,210,4,64,18,5,35
103,58,familia premium,anual,1,debito,muitos,9.721594583,1.306260424,0.4,184,103,7,54,9,2,0
104,38,familia premium,anual,1,credito,poucos,2.705166096,0.74146701,0.85,34,19,3,77,9,5,0
105,57,familia premium,mensal,2,venmo,poucos,15.80662186,1.60978549,0.05,250,207,6,50,8,4,0
106,65,basico,anual,2,credito,nenhum,29.31248703,2.7638249,0.14,381,286,7,40,8,4,97
107,55,estudante,anual,2,credito,poucos,4.014790557,1.253085202,0.5,50,32,2,44,5,2,18
108,30,premium,anual,2,debito,nenhum,16.76654975,2.478794089,0.4,297,192,4,91,13,3,89
109,59,familia premium,anual,1,debito,muito frequente,17.31176775,2.187185251,0.52,232,209,7,59,14,7,0
110,34,familia premium,mensal,2,credito,poucos,15.52431767,0.666522011,0.15,253,248,6,96,20,5,2
111,34,premium,anual,2,credito,muito frequente,8.75089749,1.574062384,0.25,105,79,5,81,9,9,210
112,82,premium,anual,2,debito,muito frequente,30.38837844,4.344729752,0.33,451,318,7,26,14,4,35
113,19,basico,anual,0,venmo,muitos,0.796469562,0.016503862,0.05,15,11,3,80,6,2,106
114,54,estudante,anual,2,credito,poucos,15.14194072,0.911312481,0.03,220,153,3,44,12,4,49
115,30,familia premium,anual,1,debito,muitos,16.35806779,0.542659193,0.59,239,224,4,76,8,8,0
116,31,premium,anual,0,debito,nenhum,14.47799463,0.552317772,0.18,208,151,8,82,13,13,178
117,77,basico,anual,0,debito,poucos,26.63698087,1.950953091,0.26,397,224,6,36,12,3,134
118,67,familia premium,anual,1,debito,muito frequente,7.837778853,1.952901537,0.42,96,71,6,65,11,3,1
119,19,familia premium,anual,0,venmo,poucos,8.515540609,1.466727157,0.03,133,76,5,112,13,7,2
120,27,premium,anual,2,debito,muito frequente,7.231704825,1.140343571,0.4,123,87,5,91,21,7,176
121,75,premium,anual,2,debito,muito frequente,24.75638648,1.693333545,0.68,480,473,4,49,18,5,34
122,58,basico,anual,0,credito,muito frequente,18.98014646,0.98421963,0.6,284,175,9,51,10,5,28
123,68,basico,anual,0,credito,muito frequente,19.72103712,2.787216092,0.41,305,279,6,56,13,7,96
124,79,basico,mensal,0,debito,muitos,12.5820119,0.794948946,0.42,175,115,5,32,5,3,106
125,70,familia premium,anual,0,credito,nenhum,3.665782999,0.652215259,0.54,60,35,6,35,9,3,1
126,22,familia premium,mensal,2,debito,muitos,0.595771121,0.922839092,0.18,10,7,1,90,19,6,1
127,85,basico,anual,2,debito,alguns,4.927796792,0.464617777,0.4,62,41,2,27,11,6,67
128,63,estudante,anual,0,venmo,nenhum,16.5006213,1.182444207,0.34,247,176,8,69,12,6,82
129,22,familia premium,anual,2,venmo,nenhum,13.47549117,1.924917829,0.7,266,134,7,92,6,3,2
130,34,basico,mensal,2,venmo,poucos,1.994729805,1.23836458,0.13,29,15,2,83,8,8,50
131,80,basico,mensal,1,venmo,muitos,0.364536124,0.515011797,0.23,6,3,2,30,15,8,85
132,44,premium,anual,2,venmo,poucos,0.083002258,0.016326301,0.15,1,1,1,74,7,2,134
133,27,premium,anual,1,credito,poucos,11.6145813,1.137693777,0.35,143,98,7,91,11,3,36
134,52,basico,anual,2,venmo,nenhum,30.60858076,1.559867385,0.49,517,424,8,65,7,7,78
135,46,basico,anual,0,debito,poucos,25.90161094,0.784828109,0.28,326,270,6,80,11,6,56
136,71,basico,anual,0,credito,nenhum,18.59028576,0.937697311,0.67,344,186,6,44,10,10,77
137,71,estudante,anual,2,credito,muitos,12.2469927,1.237966902,0.03,170,88,3,41,9,5,74
138,86,familia premium,anual,0,credito,nenhum,21.84247239,3.104157913,0.48,323,252,6,41,15,5,2
139,20,estudante,anual,0,debito,alguns,14.57666348,0.363547333,0.47,186,115,8,106,19,10,127
140,44,premium,anual,2,venmo,poucos,9.874279806,1.181787974,0.3,125,88,5,80,9,3,47
141,21,estudante,anual,1,credito,poucos,10.62252888,0.959729463,0.29,142,90,7,83,13,7,46
142,36,familia premium,anual,2,credito,muitos,1.992010577,0.616772011,0.56,27,15,1,75,21,11,0
143,45,estudante,anual,0,venmo,muitos,19.14303574,1.025303827,0.15,328,207,6,52,19,10,29
144,72,basico,mensal,0,debito,poucos,25.8613839,2.852510735,0.01,326,277,6,44,15,8,58
145,79,basico,mensal,2,credito,muitos,10.85100928,0.238735426,0.15,208,156,6,30,13,4,47
146,35,basico,mensal,0,credito,poucos,19.52566549,0.832509704,0.01,297,191,9,84,3,1,225
147,75,basico,anual,2,debito,muito frequente,28.75423018,0.352380418,0.54,549,280,4,39,13,13,137
148,45,familia premium,anual,1,credito,muito frequente,12.02118357,0.71420406,0.22,204,158,4,61,19,10,2
149,73,familia premium,mensal,1,credito,muito frequente,11.83785905,2.535616691,0.47,173,119,7,49,8,2,2
150,75,premium,mensal,2,credito,nenhum,7.283499199,0.635578404,0.79,121,108,5,32,8,2,72
151,77,basico,mensal,0,venmo,muito frequente,19.14769881,2.878587443,0.84,231,135,5,37,11,3,136
152,24,estudante,mensal,2,credito,alguns,8.995506354,0.642971404,0.91,174,118,6,98,12,6,79
153,83,familia premium,anual,2,credito,muitos,15.36941815,0.888703186,0.17,188,118,3,36,20,7,2
154,33,basico,anual,2,debito,nenhum,20.39299527,0.673936302,0.64,254,158,6,81,11,6,93
155,19,estudante,anual,0,debito,muitos,19.94124243,0.470473347,0.45,387,200,9,97,14,7,40
156,84,premium,anual,2,venmo,muito frequente,15.81372042,1.99798244,0.22,245,216,4,15,9,2,50
157,43,familia premium,anual,2,venmo,nenhum,8.586250753,1.652465917,0.31,128,68,5,75,13,4,0
158,67,basico,anual,1,venmo,alguns,21.95277181,1.617917474,0.22,300,172,5,49,8,8,71
159,86,basico,anual,2,credito,poucos,2.905300842,1.022741837,0.54,53,32,4,38,10,3,44
160,56,familia premium,anual,2,debito,nenhum,28.37005715,2.648348551,0.08,406,335,4,68,18,18,1
161,55,premium,anual,1,credito,muito frequente,10.33273662,1.282494507,0.16,150,115,4,64,19,10,71
162,53,premium,anual,0,credito,muitos,7.784958886,1.489179584,0.29,108,59,5,68,14,14,319
163,41,basico,anual,2,debito,muitos,20.32441542,1.663239647,0.49,404,232,7,79,12,3,67
164,64,basico,mensal,1,credito,muito frequente,23.08873901,0.114248712,0.35,329,231,5,55,14,5,39
165,65,familia premium,mensal,1,venmo,poucos,0.121225292,0.059807235,0.28,2,1,0,58,6,2,2
166,31,premium,anual,2,credito,poucos,9.807021934,0.927057543,0.45,123,90,3,72,18,9,20
167,56,basico,anual,2,credito,alguns,21.81114529,1.124182792,0.61,430,305,7,52,9,3,89
168,21,estudante,mensal,2,debito,poucos,5.952693513,1.10822505,0.16,89,46,5,84,4,1,37
169,62,basico,anual,2,venmo,nenhum,6.699034517,0.66015926,0.64,109,69,5,65,11,4,92
170,77,premium,anual,1,debito,alguns,21.82381204,1.588899293,0.27,354,216,5,36,11,3,71
171,20,estudante,anual,2,debito,nenhum,12.18571848,1.349084722,0.87,164,160,3,97,11,4,175
172,70,familia premium,anual,2,credito,alguns,13.32163527,2.635593006,0.14,228,121,6,58,8,8,0
173,48,familia premium,mensal,0,credito,muito frequente,5.456574328,1.285129554,0.12,79,68,7,65,12,4,0
174,76,familia premium,anual,2,venmo,alguns,4.790624654,0.929129199,0.48,63,58,2,42,11,11,0
175,37,familia premium,anual,2,credito,poucos,1.284699052,0.195254536,0.7,20,17,1,60,17,9,2
176,82,estudante,anual,0,credito,alguns,24.21529666,3.074243761,0.74,403,216,9,19,12,4,71
177,85,familia premium,mensal,1,debito,muitos,30.16487769,3.709654663,0.63,460,245,8,47,14,5,0
178,21,estudante,mensal,1,credito,muitos,4.84804776,1.311095512,0.6,67,34,6,74,10,3,73
179,64,familia premium,mensal,0,credito,poucos,21.8119516,1.157329737,0.33,345,209,9,40,8,2,1
180,76,familia premium,anual,2,credito,alguns,27.9875888,2.402709284,0.06,419,263,7,42,11,11,0
181,55,basico,anual,1,credito,nenhum,15.78081916,1.601483485,0.16,306,159,5,50,10,3,51
182,73,basico,anual,1,debito,nenhum,15.67938092,3.028693584,0.47,190,176,7,44,20,7,153
183,51,premium,mensal,1,venmo,poucos,26.59518453,3.243134188,0.65,378,297,5,48,17,9,78
184,34,premium,mensal,0,credito,muito frequente,30.56747405,0.895427468,0.25,567,351,10,97,7,2,183
185,29,premium,anual,1,credito,alguns,8.308302905,1.322263199,0.49,157,90,4,95,9,5,53
186,86,basico,mensal,0,credito,muito frequente,16.99140635,2.471515758,0.53,220,130,8,30,9,3,80
187,81,familia premium,mensal,0,credito,alguns,20.86135298,0.440133371,0.39,294,292,9,38,9,9,1
188,63,familia premium,mensal,0,venmo,muito frequente,22.69233084,2.684945524,0.72,284,144,6,53,11,4,1
189,30,premium,anual,1,credito,nenhum,1.953701077,0.170902079,0.84,30,16,4,79,11,6,370
190,85,basico,anual,1,venmo,muito frequente,14.16929324,1.281764265,0.59,173,152,7,10,11,4,68
191,52,familia premium,mensal,0,venmo,poucos,11.39420301,1.442289547,0.0,160,80,5,72,19,10,2
192,53,familia premium,mensal,1,credito,muitos,29.80959291,4.77229456,0.05,460,238,5,74,9,2,0
193,51,premium,anual,1,debito,nenhum,4.063823983,0.309090337,0.42,64,41,3,70,10,3,166
194,38,basico,anual,2,credito,muito frequente,11.40641673,1.755485236,0.05,212,150,6,80,15,8,131
195,75,premium,anual,0,credito,poucos,10.68723806,0.456640421,0.32,153,83,8,46,20,10,105
196,84,basico,anual,0,debito,muito frequente,25.57244325,0.885847589,0.04,332,193,9,47,11,6,116
197,30,premium,anual,0,debito,alguns,13.58470322,1.463985358,0.79,198,155,5,87,10,5,44
198,69,basico,anual,0,debito,alguns,17.85987256,0.927374941,0.27,251,176,6,39,11,6,88
199,61,basico,mensal,2,credito,alguns,14.45538908,0.007285906,0.4,181,114,6,65,10,10,167
200,68,familia premium,anual,2,venmo,poucos,15.10534486,0.933105978,0.02,292,157,4,52,10,10,1
201,28,premium,mensal,1,debito,alguns,13.02946908,1.233030532,0.87,190,150,7,76,10,5,198
202,26,basico,anual,2,debito,muitos,20.63246891,2.917515763,0.98,343,256,4,90,12,3,229
203,55,familia premium,mensal,1,debito,nenhum,5.11866958,1.325469322,0.41,86,76,4,55,6,2,0
204,33,premium,anual,0,debito,muito frequente,29.46518886,1.805148392,0.54,510,395,9,86,10,5,85
205,29,basico,anual,0,debito,poucos,21.19360345,2.198184156,0.35,264,210,6,92,18,5,73
206,74,premium,anual,1,credito,muitos,15.63197637,1.817849746,0.19,270,202,8,38,11,4,286
207,71,premium,mensal,2,credito,muitos,9.121096524,0.915988871,0.01,125,66,5,53,6,3,92
208,74,familia premium,anual,2,venmo,poucos,9.973841825,1.588879515,0.05,122,76,3,26,10,10,1
209,64,basico,anual,2,credito,muitos,25.10584937,2.120347031,0.43,442,376,7,52,7,2,59
210,19,estudante,mensal,0,debito,muitos,14.60841769,0.680767078,0.39,262,139,9,84,11,4,87
211,54,basico,anual,1,venmo,alguns,29.19815903,4.572975423,0.04,503,331,8,63,20,20,123
212,54,familia premium,anual,0,venmo,nenhum,15.34787303,1.02068678,0.13,272,184,9,56,10,10,0
213,63,familia premium,mensal,1,debito,muitos,9.953058679,0.213221353,0.36,158,90,4,39,15,4,0
214,41,familia premium,anual,0,debito,nenhum,7.920178078,0.82519087,0.48,132,110,5,68,11,3,0
215,75,premium,anual,1,venmo,alguns,7.956115254,1.17971936,0.32,130,99,4,45,12,4,242
216,49,basico,anual,0,debito,muito frequente,1.801243343,0.617556655,0.36,26,20,5,53,20,20,58
217,65,basico,anual,0,credito,nenhum,13.96725883,1.029081838,0.02,202,109,8,43,11,3,41
218,80,basico,anual,0,venmo,nenhum,23.82971777,1.322751308,0.53,332,252,9,35,21,21,165
219,77,premium,anual,1,credito,muitos,21.37639941,1.55513764,0.25,408,317,8,25,5,1,23
220,70,premium,anual,1,venmo,alguns,9.546736549,2.047159005,0.37,138,132,7,47,14,5,47
221,29,familia premium,mensal,0,debito,poucos,24.51322026,0.42167378,0.66,457,325,6,78,9,3,1
222,48,premium,mensal,1,debito,nenhum,3.379667734,1.192467172,0.32,54,38,3,63,11,11,61
223,53,familia premium,mensal,0,credito,alguns,10.1084197,0.51373661,0.27,127,90,7,66,5,1,2
224,52,familia premium,anual,1,debito,nenhum,9.371914886,0.673475918,0.46,172,136,7,61,13,13,2
225,35,familia premium,mensal,1,venmo,poucos,2.864805402,0.489061926,0.04,54,34,3,89,10,3,1
226,57,familia premium,mensal,2,credito,alguns,20.15008999,2.09349127,0.47,328,188,7,62,20,10,0
227,85,premium,anual,2,venmo,poucos,6.664028946,1.094428658,0.22,103,98,3,31,10,3,35
228,35,premium,anual,0,venmo,muito frequente,18.21537954,1.90851055,0.24,350,215,9,64,8,8,49
229,79,premium,anual,1,credito,muito frequente,10.40838079,0.365721046,0.49,194,173,7,35,15,5,113
230,51,familia premium,mensal,0,venmo,alguns,4.447683796,0.855616002,0.43,85,70,7,67,9,3,0
231,33,familia premium,anual,2,credito,alguns,15.87694835,1.625821293,0.39,292,155,7,86,18,6,1
232,75,familia premium,mensal,1,debito,poucos,8.919117657,1.168104688,0.48,115,64,6,44,21,11,0
233,55,familia premium,anual,2,debito,poucos,27.2615733,1.745539898,0.18,416,244,7,64,13,4,0
234,43,basico,anual,2,credito,muito frequente,8.727718756,0.168063668,0.07,168,86,3,56,12,4,16
235,20,estudante,anual,1,credito,nenhum,16.2404265,0.571162959,0.02,281,197,5,102,17,4,77
236,32,premium,anual,2,credito,poucos,26.58271696,0.442603872,0.66,320,249,4,73,17,9,48
237,58,basico,anual,2,venmo,poucos,7.545651988,1.481999424,0.78,107,95,5,44,14,7,18
238,46,familia premium,anual,2,credito,poucos,20.29947634,1.806549906,0.38,250,138,6,50,19,6,2
239,36,basico,mensal,1,credito,muito frequente,23.9864144,2.424154668,0.43,303,255,8,98,16,8,123
240,78,basico,anual,1,credito,nenhum,8.195229478,0.381461829,0.0,117,65,6,37,8,3,138
241,42,premium,anual,2,credito,alguns,4.799816621,0.460605555,0.28,72,37,5,77,11,4,101
242,71,familia premium,anual,2,debito,nenhum,28.61598091,1.101565253,0.61,391,346,7,56,14,14,0
243,76,familia premium,anual,1,venmo,muito frequente,23.01953777,0.671145335,0.04,394,273,5,25,17,17,0
244,69,estudante,anual,2,debito,muito frequente,26.47046512,3.413192988,0.08,350,254,7,40,12,3,72
245,57,familia premium,anual,1,debito,poucos,10.27567407,1.304292417,0.46,143,91,7,62,19,10,1
246,29,premium,anual,2,credito,muito frequente,26.69880146,2.933888846,0.21,483,428,4,68,13,7,35
247,40,basico,mensal,0,credito,muitos,16.06914801,2.288035499,0.96,268,155,6,73,12,6,57
248,78,premium,mensal,2,credito,muito frequente,4.061497031,0.329578168,0.34,68,41,5,41,12,4,40
249,21,basico,anual,1,venmo,muito frequente,27.1001842,2.86359478,0.04,374,254,8,95,15,15,221
250,29,premium,anual,2,venmo,nenhum,15.49870563,3.028150465,0.36,276,187,4,85,8,8,47
251,82,premium,anual,1,credito,muitos,3.67273308,0.611107135,0.01,52,33,5,24,10,3,34
252,38,basico,mensal,1,venmo,alguns,18.58015941,1.966726109,0.81,314,181,5,74,12,4,73
253,34,premium,mensal,0,venmo,muito frequente,28.54535608,2.711963528,0.23,419,232,9,84,20,5,149
254,54,familia premium,mensal,2,venmo,alguns,22.24294681,3.000045179,0.31,428,339,4,77,10,5,0
255,81,familia premium,anual,0,credito,poucos,25.85396941,1.819476389,0.09,355,250,6,43,13,7,0
256,52,familia premium,anual,0,debito,poucos,3.097319275,0.193448569,0.06,39,23,4,59,11,3,0
257,62,familia premium,anual,0,credito,muito frequente,0.892975806,0.427890971,0.3,17,10,5,38,12,12,2
258,86,basico,mensal,1,credito,poucos,22.06996582,3.80242692,0.37,291,261,8,38,4,1,196
259,23,estudante,anual,2,debito,alguns,4.608696259,0.836051702,0.4,83,58,5,90,9,5,66
260,66,estudante,anual,0,credito,poucos,15.04970349,2.228526772,0.03,196,156,8,55,8,8,122
261,41,basico,anual,0,debito,alguns,3.632647686,0.520198354,0.3,58,31,4,69,10,10,57
262,80,basico,anual,1,venmo,poucos,5.502288565,0.659850159,0.31,84,44,6,32,20,5,74
263,64,basico,mensal,2,credito,poucos,11.56209358,0.585097408,0.74,150,118,3,46,9,5,80
264,66,familia premium,anual,1,credito,muitos,4.729062124,1.255753459,0.4,93,70,4,41,11,4,1
265,34,premium,anual,2,debito,nenhum,7.981429286,0.420293146,0.05,119,103,5,68,9,2,62
266,27,premium,anual,2,credito,poucos,14.55840049,1.239050184,0.88,184,99,3,96,11,4,178
267,66,basico,anual,2,debito,poucos,10.41034483,1.105827696,0.21,154,90,6,63,12,4,71
